elo_diff,attack_diff,defense_diff,goal_diff_diff,goals_for_diff,goals_against_diff,net_goals_diff,form_diff,home_form,away_form,position_diff,shots_on_target_diff,possession_diff,clean_sheet_diff,rest_days_diff,home_short_rest,away_short_rest,home_euro_fatigue,away_euro_fatigue,is_neutral,lambda_home,lambda_away,vegas_home_prob,vegas_draw_prob,mc_home_win_prob,home_att_home,home_def_home,away_att_away,away_def_away,match_id,gameweek,season,home_team,away_team,match_date,actual_outcome,home_win_label,draw_label,away_win_label
0,-0.059259259259259345,-0.11851851851851825,-0.23999999999999977,-0.08000000000000007,0.1599999999999997,-0.23999999999999977,-0.08888888888888896,0.0,0.0,-10,0.0,0.0,-0.02999999999999997,0,0,0,0,0,0,2.2339545454545453,1.4497074701820465,0.4874508828628194,0.27394856630236264,0.5406494541226321,1.3373333333333333,1.0625185185185184,1.0106716886377904,1.2373737373737372,2015-20150808-BOU-AVL,1,2015,BOU,AVL,2015-08-08,away,0,0,1
0,0.4222222222222223,0.11851851851851847,0.73,0.5700000000000001,-0.15999999999999992,0.73,0.27037037037037037,0.0,0.0,-14,0.0,0.0,0.07,0,0,0,0,0,0,2.636525252525252,0.8707193973634654,0.6967659517226216,0.20573216929591398,0.7393003526789605,1.4684444444444442,0.9256296296296296,0.6967984934086631,1.32996632996633,2015-20150808-CHE-SWA,1,2015,CHE,SWA,2015-08-08,draw,0,1,0
0,0.014814814814814725,0.15555555555555567,0.22999999999999998,0.019999999999999796,-0.2100000000000002,0.22999999999999998,0.08518518518518509,0.0,0.0,-9,0.0,0.0,0.07,0,0,0,0,0,0,1.8856161616161609,0.9013785310734466,0.5616355472011865,0.2568536435933867,0.5891844826765982,0.9877037037037034,0.9582222222222222,0.6967984934086631,1.414141414141414,2015-20150808-EVE-WAT,1,2015,EVE,WAT,2015-08-08,draw,0,1,0
0,0.03703703703703709,-0.1407407407407406,-0.13999999999999968,0.050000000000000044,0.18999999999999972,-0.13999999999999968,-0.051851851851851816,0.0,0.0,-10,0.0,0.0,-0.040000000000000036,0,0,0,0,0,0,1.8752861952861954,1.1173735091023227,0.47299640894508876,0.27995868964127013,0.5348677891406817,1.0314074074074073,1.1668148148148147,0.709353421217828,1.3468013468013469,2015-20150808-LEI-SUN,1,2015,LEI,SUN,2015-08-08,home,1,0,0
0,-0.4148148148148145,-0.022222222222222365,-0.5899999999999996,-0.5599999999999996,0.030000000000000027,-0.5899999999999996,-0.21851851851851856,0.0,0.0,-7,0.0,0.0,-0.020000000000000018,0,0,0,0,0,0,1.851845117845118,1.547540489642185,0.5875158815754604,0.24621765147374655,0.436679674717478,1.0314074074074073,1.0494814814814815,1.0922787193973635,1.32996632996633,2015-20150808-MUN-TOT,1,2015,MUN,TOT,2015-08-08,home,1,0,0
0,-0.1407407407407406,-0.214814814814815,-0.4800000000000002,-0.18999999999999995,0.29000000000000026,-0.4800000000000002,-0.1777777777777778,0.0,0.0,-7,0.0,0.0,-0.08000000000000002,0,0,0,0,0,0,1.416397306397306,1.1282561205273072,0.37407792311343735,0.2971911410445932,0.41711603128077,0.8041481481481481,1.1994074074074073,0.6967984934086631,1.3047138047138045,2015-20150808-NOR-CRY,1,2015,NOR,CRY,2015-08-08,away,0,0,1
0,0.37037037037037057,0.5703703703703701,1.2699999999999998,0.5000000000000002,-0.7699999999999996,1.2699999999999998,0.47037037037037027,0.0,0.0,-4,0.0,0.0,0.21000000000000002,0,0,0,0,0,0,3.1800404040404033,0.7180313873195229,0.7445674207813424,0.17132448848979365,0.8394351762194252,1.6082962962962961,0.6322962962962962,0.8411801632140615,1.4646464646464645,2015-20150809-ARS-WHU,1,2015,ARS,WHU,2015-08-09,away,0,0,1
0,0.6814814814814816,0.7407407407407406,1.9200000000000004,0.9200000000000003,-1.0,1.9200000000000004,0.674074074074074,0.0,0.0,-3,0.0,0.0,0.24,0,0,0,0,0,0,3.687797979797979,0.5080025109855618,0.3420277256017835,0.3008360127615327,0.9135280414166841,1.4684444444444442,0.7887407407407406,0.47708725674827374,1.86026936026936,2015-20150809-NEW-SOU,1,2015,NEW,SOU,2015-08-09,draw,0,1,0
0,-0.9333333333333331,-0.511111111111111,-1.9499999999999995,-1.2599999999999998,0.6899999999999997,-1.9499999999999995,-0.7148148148148148,0.0,0.0,-3,0.0,0.0,-0.22999999999999998,0,0,0,0,0,0,1.0405454545454544,2.1458079096045193,0.28846887895127116,0.2889513680662196,0.16025169221907132,0.944,1.082074074074074,1.4689265536723162,0.8164983164983165,2015-20150809-STK-LIV,1,2015,STK,LIV,2015-08-09,away,0,0,1
0,-0.7037037037037036,-0.21481481481481457,-1.2399999999999998,-0.9500000000000001,0.2899999999999996,-1.2399999999999998,-0.4592592592592592,0.0,0.0,-1,0.0,0.0,-0.13,0,0,0,0,0,0,1.1838737373737371,1.668961707470182,0.17766526361245522,0.24815572160155389,0.25386967540042105,0.7604444444444444,1.082074074074074,1.1424984306340238,1.1531986531986531,2015-20150810-WBA-MCI,1,2015,WBA,MCI,2015-08-10,away,0,0,1
